name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license
turicreate,apple,C++,11161,1120,11161,522,2017-12-01 00:42:04+00:00,2026-07-27 07:12:29+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
MLAlgorithms,rushter,Python,11154,1771,11154,10,2016-10-05 06:46:45+00:00,2026-08-02 14:09:22+00:00,MIT License
amazon-sagemaker-examples,aws,Jupyter Notebook,10976,6964,10976,850,2017-10-23 05:55:22+00:00,2026-08-01 00:07:54+00:00,Apache License 2.0
A-Curated-List-of-ML-System-Design-Case-Studies,Engineer1999,Unknown,10892,1673,10892,6,2024-05-18 15:42:58+00:00,2026-08-02 10:59:31+00:00,No License
dolly,databrickslabs,Python,10805,1142,10805,6,2023-03-24 16:15:53+00:00,2026-08-01 00:07:31+00:00,Apache License 2.0
doccano,doccano,Python,10730,1824,10730,395,2018-05-09 06:10:05+00:00,2026-08-02 12:19:40+00:00,MIT License
mlcourse.ai,Yorko,Python,10685,5707,10685,4,2017-02-27 08:32:20+00:00,2026-08-02 10:48:01+00:00,Other
machine-learning-systems-design,chiphuyen,HTML,10476,1618,10476,11,2019-11-24 23:16:28+00:00,2026-08-02 10:29:32+00:00,No License
Machine-Learning,Jack-Cherish,Python,10359,5073,10359,7,2017-03-25 07:32:37+00:00,2026-08-02 02:55:46+00:00,No License
3D-Machine-Learning,timzhang642,Unknown,10189,1800,10189,21,2017-08-12 15:20:54+00:00,2026-08-01 17:33:10+00:00,No License
tpot,EpistasisLab,Jupyter Notebook,10048,1563,10048,310,2015-11-03 21:08:40+00:00,2026-07-31 19:02:10+00:00,GNU Lesser General Public License v3.0
machine-learning-notes,roboticcam,Jupyter Notebook,10039,1800,10039,28,2018-02-15 15:42:33+00:00,2026-08-02 13:45:58+00:00,No License
sktime,sktime,Python,9897,2254,9897,2377,2018-11-06 15:08:24+00:00,2026-08-02 10:35:21+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
Stock-Prediction-Models,huseinzol05,Jupyter Notebook,9477,3051,9477,47,2017-12-18 10:49:59+00:00,2026-08-02 11:23:25+00:00,Apache License 2.0
cog,replicate,Go,9452,695,9452,81,2021-02-26 23:43:09+00:00,2026-08-01 11:10:38+00:00,Apache License 2.0
golearn,sjwhitworth,Go,9439,1168,9439,89,2013-12-26 13:06:14+00:00,2026-07-30 09:29:01+00:00,MIT License
machinelearning,dotnet,C#,9343,1949,9343,1006,2018-05-03 16:20:42+00:00,2026-07-31 21:32:10+00:00,MIT License
awesome-project-ideas,NirantK,Unknown,9240,1294,9240,7,2017-08-19 09:37:58+00:00,2026-08-02 05:08:38+00:00,MIT License
awesome-ml-for-cybersecurity,jivoi,Unknown,9233,1932,9233,33,2016-12-20 12:46:36+00:00,2026-08-02 11:11:14+00:00,Other
catboost,catboost,C++,9051,1315,9051,717,2017-07-18 05:29:04+00:00,2026-08-01 14:58:59+00:00,Apache License 2.0
machine_learning_examples,lazyprogrammer,Python,8905,6404,8905,33,2014-07-31 23:40:45+00:00,2026-08-02 11:51:43+00:00,No License
state-of-the-art-result-for-machine-learning-problems,RedditSota,Unknown,8898,1295,8898,14,2017-11-09 01:21:40+00:00,2026-08-01 08:35:33+00:00,Apache License 2.0
pattern,clips,Python,8859,1559,8859,179,2011-05-03 15:29:01+00:00,2026-07-30 18:46:39+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
financial-machine-learning,firmai,Python,8716,1406,8716,15,2019-03-21 21:00:35+00:00,2026-08-01 02:02:01+00:00,No License
machinelearning,ljpzzz,Jupyter Notebook,8708,3696,8708,17,2016-05-12 07:06:34+00:00,2026-07-30 07:53:46+00:00,MIT License
vowpal_wabbit,VowpalWabbit,C++,8692,1925,8692,2,2009-07-31 19:36:58+00:00,2026-08-01 17:50:02+00:00,Other
AIMLInterviews,alirezadir,Jupyter Notebook,8671,1510,8671,11,2021-01-31 03:52:09+00:00,2026-08-02 07:34:43+00:00,MIT License
MachineLearning_Python,lawlite19,Python,8555,2514,8555,10,2016-10-17 15:44:59+00:00,2026-07-31 14:57:08+00:00,MIT License
Machine-Learning-Collection,aladdinpersson,Python,8486,2789,8486,119,2020-03-26 07:02:40+00:00,2026-08-02 08:12:16+00:00,MIT License
approachingalmost,abhishekkrthakur,Unknown,8366,1121,8366,54,2020-07-04 07:13:20+00:00,2026-07-31 20:53:00+00:00,No License
introduction_to_ml_with_python,amueller,Jupyter Notebook,8134,4675,8134,28,2016-05-29 18:29:47+00:00,2026-08-01 08:16:24+00:00,No License
auto-sklearn,automl,Python,8127,1327,8127,209,2015-07-02 15:38:10+00:00,2026-08-02 03:50:17+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
machine-learning-cheat-sheet,soulmachine,TeX,8040,1334,8040,11,2013-05-09 07:43:59+00:00,2026-07-30 06:41:14+00:00,No License
cortex,cortexlabs,Go,8013,594,8013,131,2019-01-24 04:43:14+00:00,2026-07-28 04:46:23+00:00,Apache License 2.0
machine-learning-roadmap,mrdbourke,Unknown,7888,1171,7888,12,2020-07-09 07:07:47+00:00,2026-08-02 06:19:51+00:00,MIT License
machine-learning-yearning-cn,deeplearning-ai,CSS,7848,1503,7848,4,2018-06-19 19:26:39+00:00,2026-07-28 14:25:35+00:00,Other
Machine-learning-learning-notes,Vay-keen,Unknown,7756,1880,7756,28,2018-03-24 06:48:10+00:00,2026-07-31 10:23:31+00:00,No License
Machine-Learning-Specialization-Coursera,greyhatguy007,Jupyter Notebook,7705,3718,7705,25,2022-06-16 15:31:02+00:00,2026-08-02 10:56:34+00:00,MIT License
Learn_Machine_Learning_in_3_Months,llSourcell,Unknown,7610,2312,7610,19,2018-03-02 10:59:53+00:00,2026-08-01 03:01:15+00:00,No License
awesome-youtubers,JoseDeFreitas,Markdown,7593,489,7593,3,2020-08-25 14:18:15+00:00,2026-08-02 14:12:18+00:00,Creative Commons Zero v1.0 Universal
h2o-3,h2oai,Jupyter Notebook,7502,2028,7502,2878,2014-03-03 16:08:07+00:00,2026-08-01 00:19:06+00:00,Apache License 2.0
industry-machine-learning,firmai,Jupyter Notebook,7483,1251,7483,3,2019-05-03 05:08:15+00:00,2026-07-31 08:52:27+00:00,No License
